,code
939,002083
940,002087
941,002127
942,002144
943,002193
944,002394
945,002404
946,002516
947,600055
948,600297
949,600587
950,600763
951,603309
952,000150
953,002223
954,002382
955,002432
956,002551
957,002614
958,300003
959,300015
960,300030
961,300061
962,300171
963,300206
964,300216
965,300238
966,300244
967,300246
968,300247
969,300273
970,300298
971,300314
972,300318
973,300326
974,300347
975,300396
976,300404
977,300412
978,600111
979,600139
980,600219
981,600255
982,600259
983,600311
984,600331
985,600338
986,600362
987,600390
988,600432
989,600456
990,600459
991,600489
992,600497
993,600531
994,600547
995,600549
996,600595
997,600673
998,600711
999,600714
1000,600768
1001,600888
1002,600961
1003,601137
1004,601168
1005,601600
1006,601677
1007,601899
1008,601958
1009,000060
1010,000426
1011,000587
1012,000603
1013,000612
1014,000630
1015,000657
1016,000697
1017,000751
1018,000758
1019,000762
1020,000807
1021,000831
1022,000878
1023,000960
1024,000962
1025,002082
1026,002114
1027,002149
1028,002155
1029,002160
1030,002167
1031,002171
1032,002182
1033,002203
1034,002237
1035,002295
1036,002333
1037,002340
1038,002378
1039,002379
1040,002428
1041,002460
1042,002501
1043,002540
1044,002578
1045,002617
1046,300034
1047,600167
1048,600168
1049,600187
1050,600283
1051,600323
1052,600333
1053,600461
1054,600617
1055,600635
1056,600649
1057,600719
1058,600758
1059,600917
1060,600982
1061,601139
1062,601158
1063,601199
1064,000593
1065,000605
1066,000669
1067,000685
1068,000692
1069,000695
1070,002267
1071,002700
1072,600089
1073,600192
1074,600268
1075,600290
1076,600312
1077,600416
1078,600517
1079,600525
1080,600550
1081,600580
1082,600590
1083,600875
1084,600973
1085,601126
1086,601179
1087,601558
1088,601700
1089,601727
1090,601877
1091,603333
1092,603618
1093,000400
1094,000585
1095,000682
1096,000806
1097,000967
1098,002028
1099,002074
1100,002112
1101,002123
1102,002130
1103,002168
1104,002169
1105,002202
1106,002212
1107,002227
1108,002276
1109,002300
1110,002323
1111,002350
1112,002358
1113,002451
1114,002471
1115,002498
1116,002531
1117,002533
1118,002560
1119,002622
1120,002660
1121,300001
1122,300004
1123,300018
1124,300040
1125,300048
1126,300062
1127,300069
1128,300120
